ticker,date,acquirer,relation,direction,value_lakhs
AMBUJACEM,2022-08-14,Entity_623,Promoter,Sell,376.1
TITAN,2022-08-14,Entity_741,Director,Buy,121.04
DABUR,2022-08-15,Entity_252,Director,Sell,392.06
ADANIPORTS,2022-08-15,Entity_272,Director,Buy,614.15
HDFCLIFE,2022-08-16,Entity_694,FII,Sell,3582.91
TITAN,2022-08-16,Entity_144,Promoter,Sell,3020.67
TVSMOTOR,2022-08-17,Entity_972,Promoter,Buy,220.7
HEROMOTOCO,2022-08-17,Entity_745,KMP,Buy,163.88
TECHM,2022-08-18,Entity_561,Director,Sell,1807.76
TATAPOWER,2022-08-18,Entity_323,Promoter,Buy,12.92
DRREDDY,2022-08-18,Entity_723,Promoter,Sell,538.57
NESTLEIND,2022-08-19,Entity_464,Director,Sell,3751.93
SHREECEM,2022-08-19,Entity_570,Institutional,Sell,339.51
MPHASIS,2022-08-20,Entity_133,Promoter,Sell,7964.33
COFORGE,2022-08-20,Entity_365,Director,Sell,349.02
TATACONSUM,2022-08-20,Entity_582,Director,Sell,1491.76
HEROMOTOCO,2022-08-21,Entity_823,KMP,Buy,15139.58
LTIM,2022-08-22,Entity_569,FII,Sell,235.44
ADANIPORTS,2022-08-22,Entity_623,Institutional,Sell,826.32
ITC,2022-08-23,Entity_100,DII,Sell,128.69
TATACONSUM,2022-08-23,Entity_987,Institutional,Sell,1147.49
LTIM,2022-08-23,Entity_673,FII,Sell,1069.61
POWERGRID,2022-08-24,Entity_817,Promoter,Buy,6213.66
HCLTECH,2022-08-24,Entity_419,FII,Sell,68.75
BIOCON,2022-08-24,Entity_739,Promoter,Sell,214.57
SUNPHARMA,2022-08-25,Entity_815,Promoter,Buy,1485.81
NESTLEIND,2022-08-26,Entity_347,Director,Sell,709.13
BRITANNIA,2022-08-26,Entity_332,Director,Sell,808.02
HDFCLIFE,2022-08-26,Entity_829,Promoter,Sell,2174.22
BAJAJ-AUTO,2022-08-27,Entity_197,FII,Buy,87.24
HCLTECH,2022-08-28,Entity_192,Promoter,Sell,2166.01
AMBUJACEM,2022-08-29,Entity_622,KMP,Sell,58.69
TVSMOTOR,2022-09-01,Entity_390,Promoter,Buy,4781.23
HEROMOTOCO,2022-09-01,Entity_266,Promoter,Sell,463.91
HDFCLIFE,2022-09-01,Entity_424,Director,Buy,537.03
MARUTI,2022-09-02,Entity_536,FII,Buy,16238.38
ITC,2022-09-02,Entity_186,Promoter,Sell,528.98
LTIM,2022-09-02,Entity_780,Promoter,Sell,3798.05
HDFCLIFE,2022-09-03,Entity_742,Promoter,Buy,105.66
ONGC,2022-09-04,Entity_761,Director,Sell,38.34
ICICIBANK,2022-09-05,Entity_998,Institutional,Sell,605.37
POWERGRID,2022-09-05,Entity_832,FII,Sell,919.3
MARICO,2022-09-05,Entity_122,FII,Sell,992.52
HCLTECH,2022-09-06,Entity_594,Institutional,Buy,38.36
DRREDDY,2022-09-07,Entity_596,Institutional,Buy,572.33
BIOCON,2022-09-07,Entity_131,Promoter,Sell,641.21
M&M,2022-09-07,Entity_524,Institutional,Sell,1275.22
ONGC,2022-09-08,Entity_642,Promoter,Sell,1766.47
RELIANCE,2022-09-08,Entity_800,Institutional,Sell,7.11
M&M,2022-09-09,Entity_913,FII,Sell,551.54
TCS,2022-09-10,Entity_779,Promoter,Sell,233.3
MARUTI,2022-09-10,Entity_382,Promoter,Sell,5294.44
TECHM,2022-09-10,Entity_704,Institutional,Buy,84.2
ITC,2022-09-11,Entity_833,Promoter,Buy,26.11
ADANIGREEN,2022-09-11,Entity_366,FII,Sell,8974.06
SUNPHARMA,2022-09-12,Entity_368,Director,Sell,1650.14
LT,2022-09-13,Entity_700,KMP,Sell,1224.86
LT,2022-09-13,Entity_992,Director,Buy,430.83
SUNPHARMA,2022-09-14,Entity_519,Promoter,Sell,8.11
ICICIBANK,2022-09-14,Entity_490,Director,Sell,1576.03
MPHASIS,2022-09-15,Entity_868,Promoter,Buy,331.64
RELIANCE,2022-09-16,Entity_363,Promoter,Sell,353.51
MARUTI,2022-09-16,Entity_395,Institutional,Buy,532.21
NTPC,2022-09-16,Entity_297,Institutional,Buy,16.58
BANDHANBNK,2022-09-17,Entity_714,Director,Sell,11311.01
EICHERMOT,2022-09-17,Entity_334,KMP,Sell,1393.82
EICHERMOT,2022-09-17,Entity_485,Director,Sell,2592.31
LTIM,2022-09-18,Entity_311,FII,Sell,10.58
NTPC,2022-09-18,Entity_795,DII,Buy,578.68
ADANIGREEN,2022-09-18,Entity_957,Promoter,Sell,143.19
SUNPHARMA,2022-09-19,Entity_483,Director,Sell,729.81
COFORGE,2022-09-19,Entity_159,Institutional,Buy,147.47
EICHERMOT,2022-09-20,Entity_282,DII,Sell,172.22
LUPIN,2022-09-21,Entity_146,KMP,Sell,1915.76
DIVISLAB,2022-09-22,Entity_943,Promoter,Buy,2119.39
BANDHANBNK,2022-09-23,Entity_127,Institutional,Sell,754.02
LUPIN,2022-09-23,Entity_424,Director,Sell,9143.18
PERSISTENT,2022-09-24,Entity_970,Director,Sell,65.86
LT,2022-09-24,Entity_799,FII,Sell,32.72
TATAPOWER,2022-09-24,Entity_262,DII,Sell,720.24
HEROMOTOCO,2022-09-25,Entity_611,FII,Sell,675.78
TITAN,2022-09-25,Entity_909,KMP,Buy,2515.9
DIVISLAB,2022-09-26,Entity_184,KMP,Sell,3632.25
M&M,2022-09-27,Entity_867,Promoter,Sell,216.98
HCLTECH,2022-09-27,Entity_602,KMP,Sell,378.84
MARICO,2022-09-28,Entity_510,Promoter,Buy,48.0
ADANIPORTS,2022-09-28,Entity_896,Promoter,Sell,14352.05
HCLTECH,2022-10-01,Entity_658,Promoter,Sell,361.57
INFY,2022-10-02,Entity_597,Institutional,Sell,1662.64
SHREECEM,2022-10-03,Entity_710,Director,Buy,1441.55
DIVISLAB,2022-10-03,Entity_167,Promoter,Sell,17.82
PIDILITIND,2022-10-04,Entity_216,Promoter,Sell,1626.58
M&M,2022-10-04,Entity_452,DII,Sell,168.59
BAJAJFINSV,2022-10-04,Entity_898,Promoter,Sell,84.98
INFY,2022-10-05,Entity_510,Institutional,Sell,60.25
BHEL,2022-10-06,Entity_316,KMP,Sell,131.55
LTIM,2022-10-06,Entity_604,DII,Buy,131.53
FEDERALBNK,2022-10-06,Entity_641,Promoter,Sell,705.0
